Lux,Degree,Zero-Lux,Zero-Deg
486.8,110,2.2,104
486.8,116,,
486.8,122,,
487,128,,
486.9,134,,
486,100,,
486.2,94,,
486.2,88,,
486,82,,
486,76,,
486.1,70,,
318,64,,
225,58,,
91,52,,
52.4,50,,
